pkImportStagingId	LocationNameCity	ItemAsListed
27578	Barrel Proof (Nashville)	Cocktail Prep $4 2 oz
27579	Barrel Proof (Nashville)	Adelphi - Caol Ila 1 oz
27580	Barrel Proof (Nashville)	Old Fashioned $3 2oz
27581	Barrel Proof (Nashville)	Bologna Sando
27582	Barrel Proof (Nashville)	Sky Dog
27583	Barrel Proof (Nashville)	Ardbeg An Oa 2 oz
27584	Barrel Proof (Nashville)	Misguided Vodka 1 oz
27585	Barrel Proof (Nashville)	Bearded Iris OF Ale
27586	Barrel Proof (Nashville)	Dirty 2oz
27587	Barrel Proof (Nashville)	Martinez
27588	Barrel Proof (Nashville)	Old Fashioned $2 2oz
27589	Barrel Proof (Nashville)	Toddy 2oz
27590	Barrel Proof (Nashville)	Sour $4 2oz
27591	Barrel Proof (Nashville)	Old Fashioned $2 2oz
27592	Barrel Proof (Nashville)	Cocktail Prep $4 2oz
27593	Barrel Proof (Nashville)	Braulio 2oz
27594	Barrel Proof (Nashville)	Old Forester Straight Bourbon 1oz
27595	Barrel Proof (Nashville)	Nardini L'Amaro 1oz
27596	Barrel Proof (Nashville)	No Trinity
27597	Barrel Proof (Nashville)	Bailey's Addon
27598	Barrel Proof (Nashville)	Forthave - Marseille 1 oz
27599	Barrel Proof (Nashville)	W. L. Weller SR 2oz
27600	Barrel Proof (Nashville)	Event Gansett
27601	Barrel Proof (Nashville)	D'usse XO 2 oz
27602	Barrel Proof (Nashville)	Cocktail 2 oz
27603	Barrel Proof (Nashville)	Two James French Connection 1 oz
27604	Barrel Proof (Nashville)	Elijah Craig Barrel Proof 1oz
27605	Barrel Proof (Nashville)	High Life Pony 1oz
27606	Barrel Proof (Nashville)	Chartreuse - MOF 1 oz
27607	Barrel Proof (Nashville)	Martini $4 2 oz
27608	Barrel Proof (Nashville)	Southbound - Repo 2 oz
27609	Barrel Proof (Nashville)	Maker's Mark Wood Finish Series 2025 ed. 2 2 oz
27610	Barrel Proof (Nashville)	Dry-Original
27611	Barrel Proof (Nashville)	Misguided Gin 2 oz
27612	Barrel Proof (Nashville)	add fries
27613	Barrel Proof (Nashville)	Nikka Coffey Malt 1oz
27614	Barrel Proof (Nashville)	Dalmore 12 1oz
27615	Barrel Proof (Nashville)	Cocktail Prep $5 2oz
27616	Barrel Proof (Nashville)	Old Fashioned $3 2oz
27617	Barrel Proof (Nashville)	Glendronach - 15yr 2 oz
27618	Barrel Proof (Nashville)	Wild Turkey - 8yr 1 oz
27619	Barrel Proof (Nashville)	Collins $3 2oz
27620	Barrel Proof (Nashville)	Collins $3 2 oz
27621	Barrel Proof (Nashville)	Green River - Full Proof 1 oz
27622	Barrel Proof (Nashville)	Russell's Reserve 15
27623	Barrel Proof (Nashville)	Espresso Martini 2 oz
27624	Barrel Proof (Nashville)	Don Julio - 1942 2 oz
27625	Barrel Proof (Nashville)	Old Rip Van Winkle 10 1 oz
27626	Barrel Proof (Nashville)	Sour $3 2oz
27627	Barrel Proof (Nashville)	Strega 1oz
27628	Barrel Proof (Nashville)	Margarita $4 2 oz
27629	Barrel Proof (Nashville)	Rittenhouse 1oz
27630	Barrel Proof (Nashville)	38 1oz
27631	Barrel Proof (Nashville)	Stoli Blue 2oz
27632	Barrel Proof (Nashville)	Tortilla Chips
27633	Barrel Proof (Nashville)	Old Fashioned $2 2 oz
27634	Barrel Proof (Nashville)	Basil Hayden 1oz
27635	Barrel Proof (Nashville)	Old Overholt 114 2oz
27636	Barrel Proof (Nashville)	Martini $4 2oz
27637	Barrel Proof (Nashville)	Cocktail Prep $4 2oz
27638	Barrel Proof (Nashville)	Mellow Corn 1oz
27639	Barrel Proof (Nashville)	Martini $4 2 oz
27640	Barrel Proof (Nashville)	Loaded Tots
27641	Barrel Proof (Nashville)	Margarita $4 2 oz
27642	Barrel Proof (Nashville)	Gallo Cocktail
27643	Barrel Proof (Nashville)	Event Milagro Repo
27644	Barrel Proof (Nashville)	Tullamore D.E.W 12 1oz
27645	Barrel Proof (Nashville)	Haus
27646	Barrel Proof (Nashville)	Ardbeg - Spectacular 1 oz
27647	Barrel Proof (Nashville)	Roadhouse - S
27648	Barrel Proof (Nashville)	High Life Pony 2oz
27649	Barrel Proof (Nashville)	Negroni $3 2oz
27650	Barrel Proof (Nashville)	Glenfiddich 14 2oz
27651	Barrel Proof (Nashville)	Jack Daniel's Coy Hill 2 oz
27652	Barrel Proof (Nashville)	Kraken Mug
27653	Barrel Proof (Nashville)	Old Fashioned $2 2 oz
27654	Barrel Proof (Nashville)	Unknown Origin Story
27655	Barrel Proof (Nashville)	Topo Chico 500ml
27656	Barrel Proof (Nashville)	Waffle maker grilled cheese
27657	Barrel Proof (Nashville)	Alpha Clause
27658	Barrel Proof (Nashville)	Old Fashioned $2 2oz
27659	Barrel Proof (Nashville)	Margarita $4 2 oz
27660	Barrel Proof (Nashville)	Old Fashioned $2 2oz
27661	Barrel Proof (Nashville)	Woodford Reserve Master's Collection - Sweet Oak 1 oz
27662	Barrel Proof (Nashville)	Citadelle Jardin 1 oz
27663	Barrel Proof (Nashville)	Old Fashioned $2 2oz
27664	Barrel Proof (Nashville)	The Hampden Pagos
27665	Barrel Proof (Nashville)	Corsair Triple Smoke 1oz
27666	Barrel Proof (Nashville)	Chips and Queso
27667	Barrel Proof (Nashville)	Preiss Cocktail
27668	Barrel Proof (Nashville)	Negroni $3 2oz
27669	Barrel Proof (Nashville)	Event Astral/Ketel One
27670	Barrel Proof (Nashville)	Old Fashioned $3 1oz
